日期,分组,UV,2d-stay,3d-stay,4d-stay,5d-stay,6d-stay,7d-stay,8d-stay,9d-stay,10d-stay,11d-stay,12d-stay
2022-10-27,实验组,20,3,0,1,0,0,1,0,0,0,2,2
2022-10-27,对照组,34,4,3,4,3,5,3,3,0,1,2,2
2022-10-28,实验组,18,1,0,2,2,0,0,0,0,0,0,0
2022-10-28,对照组,21,2,2,0,1,0,1,0,0,1,2,0
2022-10-29,实验组,29,4,3,1,2,0,1,0,0,0,0,0
2022-10-29,对照组,22,3,0,1,3,0,1,3,0,0,0,0
2022-10-30,实验组,18,2,3,4,1,3,0,0,0,0,0,0
2022-10-30,对照组,25,0,1,0,1,1,2,2,0,0,0,0
2022-10-31,实验组,19,3,0,1,1,0,2,0,0,0,0,0
2022-10-31,对照组,24,2,1,1,0,0,0,0,0,0,0,0
2022-11-01,实验组,31,2,2,2,2,0,1,0,0,0,0,0
2022-11-01,对照组,17,3,3,4,1,2,0,0,0,0,0,0
2022-11-02,实验组,35,10,7,2,4,3,0,0,0,0,0,0
2022-11-02,对照组,26,11,3,3,5,0,0,0,0,0,0,0
2022-11-03,实验组,46,12,4,3,6,0,0,0,0,0,0,0
2022-11-03,对照组,37,4,4,8,6,0,0,0,0,0,0,0
2022-11-04,实验组,47,12,5,3,0,0,0,0,0,0,0,0
2022-11-04,对照组,33,8,4,3,0,0,0,0,0,0,0,0
2022-11-05,实验组,53,13,6,0,0,0,0,0,0,0,0,0
2022-11-05,对照组,37,8,1,0,0,0,0,0,0,0,0,0
2022-11-06,实验组,32,6,0,0,0,0,0,0,0,0,0,0
2022-11-06,对照组,27,6,0,0,0,0,0,0,0,0,0,0
